Zona;Subzona;Canton;Presunta_Subinfraccion;Fecha de Detencion;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;ESTAFA;05-01-16;FLAGRANTE;HOMBRE;43;CUBA
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;05-01-16;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;05-01-16;FLAGRANTE;MUJER;27;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;05-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;05-01-16;FLAGRANTE;HOMBRE;39;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;05-01-16;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;05-01-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;05-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;05-01-16;FLAGRANTE;HOMBRE;23;PERU
ZONA 9;DMQ;QUITO;VARIOS;05-01-16;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;05-01-16;FLAGRANTE;HOMBRE;21;COLOMBIA
ZONA 9;DMQ;QUITO;VARIOS;05-01-16;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;05-01-16;FLAGRANTE;HOMBRE;50;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;05-01-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;05-01-16;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;06-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;06-01-16;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;06-01-16;FLAGRANTE;MUJER;41;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;06-01-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;06-01-16;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A CARROS;06-01-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;06-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;ACOSO SEXUAL;06-01-16;FLAGRANTE;HOMBRE;42;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;06-01-16;FLAGRANTE;MUJER;28;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;06-01-16;FLAGRANTE;MUJER;28;ECUADOR
ZONA 9;DMQ;QUITO;USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD;06-01-16;FLAGRANTE;HOMBRE;39;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A UNIDADES ECONOMICAS;07-01-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;07-01-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;07-01-16;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;ACOSO SEXUAL;07-01-16;BOLETA;HOMBRE;61;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;07-01-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;07-01-16;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;07-01-16;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;ACOSO SEXUAL;07-01-16;FLAGRANTE;HOMBRE;67;ECUADOR
ZONA 9;DMQ;QUITO;ESTAFA;07-01-16;FLAGRANTE;MUJER;40;ECUADOR
ZONA 9;DMQ;QUITO;ESTAFA;07-01-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;07-01-16;FLAGRANTE;MUJER;24;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;07-01-16;FLAGRANTE;MUJER;18;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;07-01-16;FLAGRANTE;MUJER;18;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;07-01-16;FLAGRANTE;HOMBRE;43;ECUADOR
ZONA 9;DMQ;QUITO;ESTAFA;07-01-16;FLAGRANTE;MUJER;19;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;07-01-16;FLAGRANTE;HOMBRE;40;ECUADOR
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;ASOCIACION ILICITA;08-01-16;BOLETA;HOMBRE;49;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;08-01-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;08-01-16;FLAGRANTE;HOMBRE;26;COLOMBIA
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;08-01-16;FLAGRANTE;HOMBRE;22;COLOMBIA
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;08-01-16;FLAGRANTE;HOMBRE;41;COLOMBIA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;08-01-16;FLAGRANTE;HOMBRE;33;CUBA
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;08-01-16;BOLETA;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;08-01-16;BOLETA;MUJER;37;ECUADOR
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;08-01-16;BOLETA;HOMBRE;50;ECUADOR
